241.2	30.0	221.7
230.6	20.0	234.3
230.6	30.0	234.3
241.2	40.0	221.7
-241.2	40.0	221.7
-230.6	30.0	234.3
-230.6	20.0	234.3
-241.2	30.0	221.7
125.0	20.0	69.0
113.0	20.0	79.0
113.0	20.0	79.0
125.0	20.0	69.0
-125.0	20.0	69.0
-113.0	20.0	79.0
-113.0	20.0	79.0
-125.0	20.0	69.0
233.9	30.0	250.5
248.5	20.0	258.0
248.5	30.0	258.0
233.9	40.0	250.5
-233.9	40.0	250.5
-248.5	30.0	258.0
-248.5	20.0	258.0
-233.9	30.0	250.5
163.0	20.0	413.0
176.0	20.0	418.0
176.0	20.0	418.0
163.0	20.0	413.0
-163.0	20.0	413.0
-176.0	20.0	418.0
-176.0	20.0	418.0
-163.0	20.0	413.0
267.4	30.0	243.7
264.1	20.0	227.5
264.1	30.0	227.5
267.4	40.0	243.7
-267.4	40.0	243.7
-264.1	30.0	227.5
-264.1	20.0	227.5
-267.4	30.0	243.7
442.0	20.0	211.0
439.0	20.0	197.0
439.0	20.0	197.0
442.0	20.0	211.0
-442.0	20.0	211.0
-439.0	20.0	197.0
-439.0	20.0	197.0
-442.0	20.0	211.0
